"driverid","raceid","stintnumber","numberoflaps","startlap","tire"
"8","1034","2","35","13","C1"
"20","1034","2","40","13","C1"
"154","1033","2","33","2","C2"
"154","1034","2","16","37","C1"
"817","1034","2","40","13","C1"
"822","1034","2","37","14","C1"
"826","1033","2","17","2","C4"
"830","1034","2","37","14","C1"
"830","1035","2","6","27","C3"
"832","1033","2","37","4","C3"
"832","1034","2","38","14","C1"
"839","1033","2","27","5","C3"
"839","1034","2","40","13","C1"
"840","1034","2","39","14","C1"
"841","1033","2","16","5","C4"
"841","1034","2","40","13","C1"
"842","1033","2","12","4","C4"
"842","1034","2","40","13","C1"
"844","1033","2","18","3","C4"
"844","1034","2","39","14","C1"
"846","1033","2","31","5","C3"
"846","1034","2","40","13","C1"
"847","1033","2","15","5","C4"
"847","1034","2","40","13","C1"
"848","1034","2","24","7","C1"
"849","1033","2","1","4","C4"
"849","1034","2","40","13","C1"
"1","1011","2","21","14","C3"
"8","1010","2","45","13","C3"
"8","1011","2","24","10","C2"
"9","1010","2","27","2","C3"
"20","1010","2","44","15","C3"
"20","1011","2","21","15","C2"
"154","1010","2","14","16","C3"
"807","1010","2","44","14","C2"
"815","1010","2","44","14","C2"
"815","1011","2","25","9","C2"
"817","1010","2","27","2","C2"
"822","1010","2","35","24","C3"
"822","1011","2","25","13","C2"
"825","1010","2","44","15","C3"
"825","1011","2","28","11","C2"
"826","1010","2","31","27","C2"
"826","1011","2","26","13","C2"
"830","1010","2","33","26","C3"
"830","1011","2","21","12","C2"
"841","1010","2","30","28","C4"
"841","1011","2","24","17","C2"
"842","1010","2","20","38","C4"
"842","1011","2","30","10","C3"
"844","1010","2","30","29","C2"
"844","1011","2","23","14","C2"
"846","1010","2","42","16","C2"
"846","1011","2","24","11","C2"
"847","1010","2","16","27","C4"
"848","1010","2","43","15","C3"
"848","1011","2","16","10","C3"
"840","1011","2","22","2","C2"
"840","1012","2","24","21","C2"
"840","1013","2","41","11","C3"
"840","1014","2","22","23","C3"
"841","1012","2","23","8","C3"
"841","1013","2","43","8","C3"
"841","1014","2","35","7","C1"
"8","1012","2","30","26","C2"
"8","1013","2","44","7","C3"
"8","1014","2","17","29","C1"
"9","1011","2","16","12","C3"
"9","1012","2","28","27","C2"
"9","1013","2","19","24","C3"
"20","1012","2","17","19","C2"
"20","1013","2","40","12","C3"
"20","1014","2","21","20","C2"
"20","1015","2","67","12","C3"
"154","1011","2","15","2","C2"
"154","1012","2","27","9","C2"
"154","1013","2","4","35","C4"
"154","1014","2","20","27","C2"
"807","1011","2","20","13","C3"
"807","1012","2","5","12","C2"
"807","1013","2","26","9","C3"
"807","1014","2","31","36","C3"
"815","1012","2","35","21","C2"
"815","1013","2","41","11","C3"
"815","1014","2","21","25","C2"
"817","1011","2","29","25","C2"
"817","1012","2","37","19","C2"
"817","1013","2","21","11","C3"
"817","1014","2","21","25","C1"
"822","1012","2","15","22","C2"
"822","1013","2","39","13","C3"
"822","1014","2","19","27","C2"
"822","1015","2","1","12","C4"
"825","1012","2","24","10","C2"
"825","1013","2","32","8","C3"
"825","1014","2","22","24","C2"
"826","1012","2","18","8","C2"
"826","1013","2","28","6","C3"
"826","1014","2","24","22","C2"
"826","1015","2","46","33","C4"
"830","1012","2","17","18","C2"
"830","1013","2","37","15","C3"
"830","1014","2","23","21","C3"
"830","1015","2","67","12","C3"
"832","1011","2","20","5","C2"
"832","1012","2","35","2","C2"
"832","1013","2","39","13","C3"
"832","1014","2","22","25","C2"
"842","1012","2","20","20","C2"
"842","1014","2","24","23","C2"
"842","1015","2","35","28","C4"
"844","1012","2","20","23","C2"
"844","1013","2","13","35","C4"
"844","1014","2","21","26","C1"
"846","1012","2","16","2","C2"
"846","1013","2","30","10","C3"
"846","1014","2","18","27","C2"
"847","1011","2","14","13","C2"
"847","1012","2","27","23","C2"
"847","1013","2","13","26","C3"
"847","1014","2","12","33","C3"
"848","1012","2","36","20","C2"
"848","1013","2","38","13","C3"
"848","1014","2","20","26","C2"
"848","1015","2","38","41","C4"
"840","1015","2","38","40","C3"
"840","1016","2","24","46","C4"
"840","1017","2","13","40","C3"
"840","1019","2","26","14","C1"
"841","1015","2","32","45","C4"
"841","1016","2","36","34","C4"
"841","1017","2","27","8","C2"
"8","1015","2","31","47","C4"
"8","1016","2","52","7","C3"
"8","1017","2","21","32","C3"
"8","1019","2","35","18","C1"
"9","1015","2","56","22","C3"
"9","1016","2","30","9","C3"
"9","1017","2","27","25","C2"
"9","1018","2","49","20","C2"
"20","1016","2","44","27","C3"
"20","1017","2","26","26","C2"
"20","1018","2","29","22","C2"
"20","1019","2","18","21","C1"
"154","1015","2","28","51","C4"
"154","1016","2","35","35","C3"
"154","1017","2","13","32","C3"
"154","1019","2","8","2","C1"
"807","1015","2","68","10","C3"
"807","1016","2","53","17","C3"
"807","1017","2","18","35","C3"
"807","1019","2","39","14","C1"
"815","1015","2","66","12","C3"
"815","1016","2","58","12","C3"
"815","1017","2","34","19","C2"
"815","1019","2","6","19","C1"
"817","1016","2","61","9","C3"
"817","1017","2","36","17","C2"
"817","1019","2","8","13","C2"
"822","1016","2","37","31","C3"
"822","1017","2","30","24","C2"
"822","1018","2","50","22","C2"
"822","1019","2","29","17","C2"
"825","1015","2","66","12","C4"
"825","1016","2","29","40","C4"
"825","1017","2","36","17","C2"
"825","1019","2","5","2","C1"
"826","1016","2","57","13","C3"
"826","1017","2","20","33","C3"
"826","1019","2","9","13","C2"
"830","1016","2","22","49","C4"
"830","1017","2","33","21","C2"
"830","1018","2","40","32","C2"
"832","1016","2","66","4","C3"
"832","1017","2","34","20","C2"
"832","1018","2","29","42","C2"
"832","1019","2","32","21","C1"
"842","1016","2","62","8","C3"
"842","1017","2","35","18","C2"
"842","1018","2","45","26","C2"
"842","1019","2","40","13","C1"
"844","1015","2","7","10","C3"
"844","1016","2","37","34","C3"
"844","1017","2","32","22","C2"
"844","1018","2","49","23","C2"
"844","1019","2","8","14","C2"
"846","1015","2","31","48","C5"
"846","1017","2","34","19","C2"
"846","1018","2","45","26","C3"
"846","1019","2","22","14","C2"
"847","1015","2","67","11","C3"
