"firstname","lastname","stint1tire","stint1lap","stint2tire","stint2lap","stint3tire","stint3lap","stint4tire","stint4lap","stint5tire","stint5lap","stint6tire","stint6lap","stint7tire","stint7lap","stint8tire","stint8lap","stint9tire","stint9lap","stint10tire","stint10lap","raceid","driverid"
"Lewis","Hamilton","Wet","3","Intermediate","25","C4","1","Intermediate","18","C4","6","C4","3","C4","8",NULL,NULL,NULL,NULL,NULL,NULL,"1020","1"
"Lewis","Hamilton","C3","22","C2","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","1"
"Lewis","Hamilton","C4","19","C3","30","C4","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","1"
"Lewis","Hamilton","C3","28","C4","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1025","1"
"Lewis","Hamilton","C3","21","C2","21","C3","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1026","1"
"Lewis","Hamilton","C3","23","C2","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","1"
"Lewis","Hamilton","C4","26","C3","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1030","1"
"Lewis","Hamilton","C4","27","C3","44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1032","1"
"Lewis","Hamilton","Intermediate","3","C3","34","C3","29","C4","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1033","1"
"Lewis","Hamilton","C3","14","C2","27","C2","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1035","1"
"Lewis","Hamilton","C3","23","C2","27","C2","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1036","1"
"Lewis","Hamilton","C3","11","C2","33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1037","1"
"Kimi","Raikkonen","C3","1","C2","1","C3","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","8"
"Kimi","Raikkonen","C3","24","C2","27","C4","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","8"
"Robert","Kubica","C2","31","C3","13","C2","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","9"
"Robert","Kubica","C2","20","C1","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","9"
"Daniel","Ricciardo","C5","11","C4","67",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","817"
"Daniel","Ricciardo","C4","30","C3","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","817"
"Daniel","Ricciardo","C4","11","C2","33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1037","817"
"Lando","Norris","C5","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","846"
"Kimi","Raikkonen","C4","23","C2","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","8"
"Romain","Grosjean","C3","34","C2","36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","154"
"Nico","Hulkenberg","C3","26","C2","44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","807"
"Sergio","Perez","C3","28","C2","42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","815"
"Daniel","Ricciardo","C3","46","C4","24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","817"
"Kevin","Magnussen","C4","11","C2","51","C4","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","825"
"Daniil","Kvyat","C3","32","C2","38",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","826"
"Daniil","Kvyat","C3","26","C2","25","C4","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","826"
"Max","Verstappen","C2","13","C2","7","C1","32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","830"
"Max","Verstappen","C3","1","C4","26","C3","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","830"
"Carlos","Sainz","C5","30","C4","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","832"
"Lance","Stroll","C3","25","C2","45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","840"
